,date,home_team,score,away_team
1552,27-09-2023,Verona,0 - 1,Atalanta
1553,02-10-2023,Torino,0 - 0,Verona
1554,08-10-2023,Frosinone,2 - 1,Verona
1555,21-10-2023,Verona,1 - 3,Napoli
1556,28-10-2023,Juventus,1 - 0,Verona
1557,05-11-2023,Verona,1 - 3,Monza
1558,10-11-2023,Genoa,1 - 0,Verona
1559,27-11-2023,Verona,2 - 2,Lecce
1560,03-12-2023,Udinese,3 - 3,Verona
1561,09-12-2023,Verona,1 - 1,Lazio
1562,17-12-2023,Fiorentina,1 - 0,Verona
1563,23-12-2023,Verona,2 - 0,Cagliari
1564,30-12-2023,Verona,0 - 1,Salernitana
1565,06-01-2024,Inter,2 - 1,Verona
1566,13-01-2024,Verona,2 - 1,Empoli
1567,20-01-2024,Roma,? - ?,Verona
1568,13-08-2023,Brest,3 - 2,Lens
1569,20-08-2023,Le Havre,1 - 2,Brest
1570,26-08-2023,Marseille,2 - 0,Brest
1571,02-09-2023,Brest,0 - 0,Rennes
1572,17-09-2023,Reims,1 - 2,Brest
1573,23-09-2023,Brest,1 - 0,Lyon
1574,01-10-2023,Nice,0 - 0,Brest
1575,08-10-2023,Brest,1 - 1,Toulouse
1576,22-10-2023,Lille,1 - 0,Brest
1577,29-10-2023,Brest,2 - 3,Paris SG
1578,05-11-2023,Monaco,2 - 0,Brest
1579,26-11-2023,Montpellier,1 - 3,Brest
1580,03-12-2023,Brest,3 - 0,Clermont
1581,07-12-2023,Brest,1 - 1,Strasbourg
1582,10-12-2023,Metz,0 - 1,Brest
1583,17-12-2023,Nantes,0 - 2,Brest
1584,20-12-2023,Brest,4 - 0,Lorient
1585,14-01-2024,Brest,2 - 0,Montpellier
1586,28-01-2024,Paris SG,? - ?,Brest
1587,13-08-2023,Clermont,2 - 4,Monaco
1588,20-08-2023,Reims,2 - 0,Clermont
1589,27-08-2023,Clermont,0 - 1,Metz
1590,03-09-2023,Toulouse,2 - 2,Clermont
1591,17-09-2023,Clermont,0 - 1,Nantes
1592,24-09-2023,Le Havre,2 - 1,Clermont
1593,30-09-2023,Clermont,0 - 0,Paris SG
1594,22-10-2023,Lyon,1 - 2,Clermont
1595,27-10-2023,Clermont,0 - 1,Nice
1596,05-11-2023,Strasbourg,0 - 0,Clermont
1597,12-11-2023,Clermont,1 - 0,Lorient
1598,25-11-2023,Clermont,0 - 3,Lens
1599,29-11-2023,Montpellier,1 - 1,Clermont
1600,03-12-2023,Brest,3 - 0,Clermont
1601,10-12-2023,Clermont,0 - 0,Lille
1602,17-12-2023,Marseille,2 - 1,Clermont
1603,20-12-2023,Clermont,1 - 3,Rennes
1604,14-01-2024,Nantes,1 - 2,Clermont
1605,28-01-2024,Clermont,? - ?,Strasbourg
1606,13-08-2023,Montpellier,2 - 2,Le Havre
1607,20-08-2023,Le Havre,1 - 2,Brest
1608,27-08-2023,Rennes,2 - 2,Le Havre
1609,03-09-2023,Le Havre,3 - 0,Lorient
1610,17-09-2023,Lyon,0 - 0,Le Havre
1611,24-09-2023,Le Havre,2 - 1,Clermont
1612,01-10-2023,Le Havre,0 - 2,Lille
1613,08-10-2023,Marseille,3 - 0,Le Havre
1614,20-10-2023,Le Havre,0 - 0,Lens
1615,29-10-2023,Metz,0 - 0,Le Havre
1616,05-11-2023,Toulouse,1 - 2,Le Havre
1617,11-11-2023,Le Havre,0 - 0,Monaco
1618,26-11-2023,Nantes,0 - 0,Le Havre
1619,03-12-2023,Le Havre,0 - 2,Paris SG
1620,10-12-2023,Strasbourg,2 - 1,Le Havre
1621,16-12-2023,Le Havre,3 - 1,Nice
1622,20-12-2023,Reims,1 - 0,Le Havre
1623,14-01-2024,Le Havre,3 - 1,Lyon
1624,28-01-2024,Lorient,? - ?,Le Havre
1625,13-08-2023,Brest,3 - 2,Lens
1626,20-08-2023,Lens,1 - 1,Rennes
1627,26-08-2023,Paris SG,3 - 1,Lens
1628,02-09-2023,Monaco,3 - 0,Lens
1629,16-09-2023,Lens,0 - 1,Metz
1630,24-09-2023,Lens,2 - 1,Toulouse
1631,29-09-2023,Strasbourg,0 - 1,Lens
1632,08-10-2023,Lens,1 - 1,Lille
1633,20-10-2023,Le Havre,0 - 0,Lens
1634,28-10-2023,Lens,4 - 0,Nantes
1635,04-11-2023,Lorient,0 - 0,Lens
1636,12-11-2023,Lens,1 - 0,Marseille
1637,25-11-2023,Clermont,0 - 3,Lens
1638,02-12-2023,Lens,3 - 2,Lyon
1639,08-12-2023,Montpellier,0 - 0,Lens
1640,16-12-2023,Lens,2 - 0,Reims
1641,20-12-2023,Nice,2 - 0,Lens
1642,14-01-2024,Lens,0 - 2,Paris SG
1643,28-01-2024,Toulouse,? - ?,Lens
1644,11-08-2023,Nice,1 - 1,Lille
1645,20-08-2023,Lille,2 - 0,Nantes
1646,27-08-2023,Lorient,4 - 1,Lille
1647,03-09-2023,Lille,1 - 0,Montpellier
1648,16-09-2023,Rennes,2 - 2,Lille
1649,26-09-2023,Lille,1 - 2,Reims
1650,01-10-2023,Le Havre,0 - 2,Lille
1651,08-10-2023,Lens,1 - 1,Lille
1652,22-10-2023,Lille,1 - 0,Brest
1653,29-10-2023,Lille,2 - 0,Monaco
1654,04-11-2023,Marseille,0 - 0,Lille
1655,12-11-2023,Lille,1 - 1,Toulouse
1656,26-11-2023,Lyon,0 - 2,Lille
1657,03-12-2023,Lille,2 - 0,Metz
1658,10-12-2023,Clermont,0 - 0,Lille
1659,17-12-2023,Lille,1 - 1,Paris SG
1660,20-12-2023,Strasbourg,2 - 1,Lille
1661,14-01-2024,Lille,3 - 0,Lorient
1662,28-01-2024,Montpellier,? - ?,Lille
1663,12-08-2023,Paris SG,0 - 0,Lorient
1664,20-08-2023,Lorient,1 - 1,Nice
1665,27-08-2023,Lorient,4 - 1,Lille
1666,03-09-2023,Le Havre,3 - 0,Lorient
1667,17-09-2023,Lorient,2 - 2,Monaco
1668,23-09-2023,Nantes,5 - 3,Lorient
1669,01-10-2023,Lorient,0 - 3,Montpellier
1670,08-10-2023,Lyon,3 - 3,Lorient
1671,22-10-2023,Lorient,2 - 1,Rennes
1672,28-10-2023,Reims,1 - 0,Lorient
1673,04-11-2023,Lorient,0 - 0,Lens
1674,12-11-2023,Clermont,1 - 0,Lorient
1675,26-11-2023,Lorient,2 - 3,Metz
1676,03-12-2023,Toulouse,1 - 1,Lorient
1677,10-12-2023,Lorient,2 - 4,Marseille
1678,17-12-2023,Lorient,1 - 2,Strasbourg
1679,20-12-2023,Brest,4 - 0,Lorient
1680,14-01-2024,Lille,3 - 0,Lorient
1681,28-01-2024,Lorient,? - ?,Le Havre
1682,13-08-2023,Strasbourg,2 - 1,Lyon
1683,19-08-2023,Lyon,1 - 4,Montpellier
1684,27-08-2023,Nice,0 - 0,Lyon
1685,03-09-2023,Lyon,1 - 4,Paris SG
1686,17-09-2023,Lyon,0 - 0,Le Havre
1687,23-09-2023,Brest,1 - 0,Lyon
1688,01-10-2023,Reims,2 - 0,Lyon
1689,08-10-2023,Lyon,3 - 3,Lorient
1690,22-10-2023,Lyon,1 - 2,Clermont
1691,05-11-2023,Lyon,1 - 1,Metz
1692,12-11-2023,Rennes,0 - 1,Lyon
1693,26-11-2023,Lyon,0 - 2,Lille
1694,02-12-2023,Lens,3 - 2,Lyon
1695,06-12-2023,Marseille,3 - 0,Lyon
1696,10-12-2023,Lyon,3 - 0,Toulouse
1697,15-12-2023,Monaco,0 - 1,Lyon
1698,20-12-2023,Lyon,1 - 0,Nantes
1699,14-01-2024,Le Havre,3 - 1,Lyon
1700,26-01-2024,Lyon,? - ?,Rennes
1701,12-08-2023,Marseille,2 - 1,Reims
1702,18-08-2023,Metz,2 - 2,Marseille
1703,26-08-2023,Marseille,2 - 0,Brest
1704,01-09-2023,Nantes,1 - 1,Marseille
1705,17-09-2023,Marseille,0 - 0,Toulouse
1706,24-09-2023,Paris SG,4 - 0,Marseille
1707,30-09-2023,Monaco,3 - 2,Marseille
1708,08-10-2023,Marseille,3 - 0,Le Havre
1709,21-10-2023,Nice,1 - 0,Marseille
1710,04-11-2023,Marseille,0 - 0,Lille
1711,12-11-2023,Lens,1 - 0,Marseille
1712,25-11-2023,Strasbourg,1 - 1,Marseille
1713,03-12-2023,Marseille,2 - 0,Rennes
1714,06-12-2023,Marseille,3 - 0,Lyon
1715,10-12-2023,Lorient,2 - 4,Marseille
1716,17-12-2023,Marseille,2 - 1,Clermont
1717,20-12-2023,Montpellier,1 - 1,Marseille
1718,12-01-2024,Marseille,1 - 1,Strasbourg
1719,27-01-2024,Marseille,? - ?,Monaco
1720,13-08-2023,Rennes,5 - 1,Metz
1721,18-08-2023,Metz,2 - 2,Marseille
1722,27-08-2023,Clermont,0 - 1,Metz
1723,03-09-2023,Metz,2 - 2,Reims
1724,16-09-2023,Lens,0 - 1,Metz
1725,24-09-2023,Metz,0 - 1,Strasbourg
1726,01-10-2023,Toulouse,3 - 0,Metz
1727,07-10-2023,Metz,0 - 1,Nice
1728,22-10-2023,Monaco,2 - 1,Metz
1729,29-10-2023,Metz,0 - 0,Le Havre
1730,05-11-2023,Lyon,1 - 1,Metz
1731,12-11-2023,Metz,3 - 1,Nantes
1732,26-11-2023,Lorient,2 - 3,Metz
1733,03-12-2023,Lille,2 - 0,Metz
1734,10-12-2023,Metz,0 - 1,Brest
1735,17-12-2023,Metz,0 - 1,Montpellier
1736,20-12-2023,Paris SG,3 - 1,Metz
1737,14-01-2024,Metz,0 - 1,Toulouse
1738,27-01-2024,Nice,? - ?,Metz
1739,13-08-2023,Clermont,2 - 4,Monaco
1740,20-08-2023,Monaco,3 - 0,Strasbourg
1741,25-08-2023,Nantes,3 - 3,Monaco
1742,02-09-2023,Monaco,3 - 0,Lens
1743,17-09-2023,Lorient,2 - 2,Monaco
1744,22-09-2023,Monaco,0 - 1,Nice
1745,30-09-2023,Monaco,3 - 2,Marseille
1746,07-10-2023,Reims,1 - 3,Monaco
1747,22-10-2023,Monaco,2 - 1,Metz
1748,29-10-2023,Lille,2 - 0,Monaco
1749,05-11-2023,Monaco,2 - 0,Brest
1750,11-11-2023,Le Havre,0 - 0,Monaco
1751,24-11-2023,Paris SG,5 - 2,Monaco
1752,03-12-2023,Monaco,2 - 0,Montpellier
1753,09-12-2023,Rennes,1 - 2,Monaco
1754,15-12-2023,Monaco,0 - 1,Lyon
1755,20-12-2023,Toulouse,1 - 2,Monaco
1756,13-01-2024,Monaco,1 - 3,Reims
1757,27-01-2024,Marseille,? - ?,Monaco
1758,13-08-2023,Montpellier,2 - 2,Le Havre
1759,19-08-2023,Lyon,1 - 4,Montpellier
1760,27-08-2023,Montpellier,1 - 3,Reims
1761,03-09-2023,Lille,1 - 0,Montpellier
1762,17-09-2023,Strasbourg,2 - 2,Montpellier
1763,24-09-2023,Montpellier,0 - 0,Rennes
1764,01-10-2023,Lorient,0 - 3,Montpellier
1765,22-10-2023,Nantes,2 - 0,Montpellier
1766,29-10-2023,Montpellier,3 - 0,Toulouse
1767,03-11-2023,Paris SG,3 - 0,Montpellier
1768,10-11-2023,Montpellier,0 - 0,Nice
1769,26-11-2023,Montpellier,1 - 3,Brest
1770,29-11-2023,Montpellier,1 - 1,Clermont
1771,03-12-2023,Monaco,2 - 0,Montpellier
1772,08-12-2023,Montpellier,0 - 0,Lens
1773,17-12-2023,Metz,0 - 1,Montpellier
1774,20-12-2023,Montpellier,1 - 1,Marseille
1775,14-01-2024,Brest,2 - 0,Montpellier
1776,28-01-2024,Montpellier,? - ?,Lille
1777,13-08-2023,Nantes,1 - 2,Toulouse
1778,20-08-2023,Lille,2 - 0,Nantes
1779,25-08-2023,Nantes,3 - 3,Monaco
1780,01-09-2023,Nantes,1 - 1,Marseille
1781,17-09-2023,Clermont,0 - 1,Nantes
1782,23-09-2023,Nantes,5 - 3,Lorient
1783,01-10-2023,Rennes,3 - 1,Nantes
1784,06-10-2023,Strasbourg,1 - 2,Nantes
1785,22-10-2023,Nantes,2 - 0,Montpellier
1786,28-10-2023,Lens,4 - 0,Nantes
1787,05-11-2023,Nantes,0 - 1,Reims
1788,12-11-2023,Metz,3 - 1,Nantes
1789,26-11-2023,Nantes,0 - 0,Le Havre
1790,02-12-2023,Nantes,1 - 0,Nice
1791,09-12-2023,Paris SG,2 - 1,Nantes
1792,17-12-2023,Nantes,0 - 2,Brest
1793,20-12-2023,Lyon,1 - 0,Nantes
1794,14-01-2024,Nantes,1 - 2,Clermont
1795,28-01-2024,Reims,? - ?,Nantes
1796,11-08-2023,Nice,1 - 1,Lille
1797,20-08-2023,Lorient,1 - 1,Nice
1798,27-08-2023,Nice,0 - 0,Lyon
1799,03-09-2023,Nice,2 - 0,Strasbourg
1800,15-09-2023,Paris SG,2 - 3,Nice
1801,22-09-2023,Monaco,0 - 1,Nice
1802,01-10-2023,Nice,0 - 0,Brest
1803,07-10-2023,Metz,0 - 1,Nice
1804,21-10-2023,Nice,1 - 0,Marseille
1805,27-10-2023,Clermont,0 - 1,Nice
1806,05-11-2023,Nice,2 - 0,Rennes
1807,10-11-2023,Montpellier,0 - 0,Nice
1808,26-11-2023,Nice,1 - 0,Toulouse
1809,02-12-2023,Nantes,1 - 0,Nice
1810,10-12-2023,Nice,2 - 1,Reims
1811,16-12-2023,Le Havre,3 - 1,Nice
1812,20-12-2023,Nice,2 - 0,Lens
1813,13-01-2024,Rennes,2 - 0,Nice
1814,27-01-2024,Nice,? - ?,Metz
1815,12-08-2023,Paris SG,0 - 0,Lorient
1816,19-08-2023,Toulouse,1 - 1,Paris SG
1817,26-08-2023,Paris SG,3 - 1,Lens
1818,03-09-2023,Lyon,1 - 4,Paris SG
1819,15-09-2023,Paris SG,2 - 3,Nice
1820,24-09-2023,Paris SG,4 - 0,Marseille
1821,30-09-2023,Clermont,0 - 0,Paris SG
1822,08-10-2023,Rennes,1 - 3,Paris SG
1823,21-10-2023,Paris SG,3 - 0,Strasbourg
1824,29-10-2023,Brest,2 - 3,Paris SG
1825,03-11-2023,Paris SG,3 - 0,Montpellier
1826,11-11-2023,Reims,0 - 3,Paris SG
1827,24-11-2023,Paris SG,5 - 2,Monaco
1828,03-12-2023,Le Havre,0 - 2,Paris SG
1829,09-12-2023,Paris SG,2 - 1,Nantes
1830,17-12-2023,Lille,1 - 1,Paris SG
1831,20-12-2023,Paris SG,3 - 1,Metz
1832,14-01-2024,Lens,0 - 2,Paris SG
1833,28-01-2024,Paris SG,? - ?,Brest
1834,12-08-2023,Marseille,2 - 1,Reims
1835,20-08-2023,Reims,2 - 0,Clermont
1836,27-08-2023,Montpellier,1 - 3,Reims
1837,03-09-2023,Metz,2 - 2,Reims
1838,17-09-2023,Reims,1 - 2,Brest
1839,26-09-2023,Lille,1 - 2,Reims
1840,01-10-2023,Reims,2 - 0,Lyon
1841,07-10-2023,Reims,1 - 3,Monaco
1842,22-10-2023,Toulouse,1 - 1,Reims
1843,28-10-2023,Reims,1 - 0,Lorient
1844,05-11-2023,Nantes,0 - 1,Reims
1845,11-11-2023,Reims,0 - 3,Paris SG
1846,26-11-2023,Rennes,3 - 1,Reims
1847,01-12-2023,Reims,2 - 1,Strasbourg
1848,10-12-2023,Nice,2 - 1,Reims
1849,16-12-2023,Lens,2 - 0,Reims
1850,20-12-2023,Reims,1 - 0,Le Havre
1851,13-01-2024,Monaco,1 - 3,Reims
1852,28-01-2024,Reims,? - ?,Nantes
1853,13-08-2023,Rennes,5 - 1,Metz
1854,20-08-2023,Lens,1 - 1,Rennes
1855,27-08-2023,Rennes,2 - 2,Le Havre
1856,02-09-2023,Brest,0 - 0,Rennes
1857,16-09-2023,Rennes,2 - 2,Lille
1858,24-09-2023,Montpellier,0 - 0,Rennes
1859,01-10-2023,Rennes,3 - 1,Nantes
1860,08-10-2023,Rennes,1 - 3,Paris SG
1861,22-10-2023,Lorient,2 - 1,Rennes
1862,29-10-2023,Rennes,1 - 1,Strasbourg
1863,05-11-2023,Nice,2 - 0,Rennes
1864,12-11-2023,Rennes,0 - 1,Lyon
1865,26-11-2023,Rennes,3 - 1,Reims
1866,03-12-2023,Marseille,2 - 0,Rennes
1867,09-12-2023,Rennes,1 - 2,Monaco
1868,17-12-2023,Toulouse,0 - 0,Rennes
1869,20-12-2023,Clermont,1 - 3,Rennes
1870,13-01-2024,Rennes,2 - 0,Nice
1871,26-01-2024,Lyon,? - ?,Rennes
1872,13-08-2023,Strasbourg,2 - 1,Lyon
1873,20-08-2023,Monaco,3 - 0,Strasbourg
1874,27-08-2023,Strasbourg,2 - 0,Toulouse
1875,03-09-2023,Nice,2 - 0,Strasbourg
1876,17-09-2023,Strasbourg,2 - 2,Montpellier
1877,24-09-2023,Metz,0 - 1,Strasbourg
1878,29-09-2023,Strasbourg,0 - 1,Lens
1879,06-10-2023,Strasbourg,1 - 2,Nantes
1880,21-10-2023,Paris SG,3 - 0,Strasbourg
1881,29-10-2023,Rennes,1 - 1,Strasbourg
1882,05-11-2023,Strasbourg,0 - 0,Clermont
1883,25-11-2023,Strasbourg,1 - 1,Marseille
1884,01-12-2023,Reims,2 - 1,Strasbourg
1885,07-12-2023,Brest,1 - 1,Strasbourg
1886,10-12-2023,Strasbourg,2 - 1,Le Havre
1887,17-12-2023,Lorient,1 - 2,Strasbourg
1888,20-12-2023,Strasbourg,2 - 1,Lille
1889,12-01-2024,Marseille,1 - 1,Strasbourg
1890,28-01-2024,Clermont,? - ?,Strasbourg
1891,13-08-2023,Nantes,1 - 2,Toulouse
1892,19-08-2023,Toulouse,1 - 1,Paris SG
1893,27-08-2023,Strasbourg,2 - 0,Toulouse
1894,03-09-2023,Toulouse,2 - 2,Clermont
1895,17-09-2023,Marseille,0 - 0,Toulouse
1896,24-09-2023,Lens,2 - 1,Toulouse
1897,01-10-2023,Toulouse,3 - 0,Metz
1898,08-10-2023,Brest,1 - 1,Toulouse
1899,22-10-2023,Toulouse,1 - 1,Reims
1900,29-10-2023,Montpellier,3 - 0,Toulouse
1901,05-11-2023,Toulouse,1 - 2,Le Havre
1902,12-11-2023,Lille,1 - 1,Toulouse
1903,26-11-2023,Nice,1 - 0,Toulouse
1904,03-12-2023,Toulouse,1 - 1,Lorient
1905,10-12-2023,Lyon,3 - 0,Toulouse
1906,17-12-2023,Toulouse,0 - 0,Rennes
1907,20-12-2023,Toulouse,1 - 2,Monaco
1908,14-01-2024,Metz,0 - 1,Toulouse
1909,28-01-2024,Toulouse,? - ?,Lens
1910,05-08-2023,Livingston,0 - 0,Aberdeen
1911,13-08-2023,Aberdeen,1 - 3,Celtic
1912,27-08-2023,St Mirren,2 - 2,Aberdeen
1913,03-09-2023,Aberdeen,0 - 2,Hibernian
1914,16-09-2023,Hearts,2 - 0,Aberdeen
1915,24-09-2023,Aberdeen,4 - 0,Ross County
1916,30-09-2023,Rangers,1 - 3,Aberdeen
1917,08-10-2023,Aberdeen,0 - 0,St Johnstone
1918,29-10-2023,Kilmarnock,2 - 0,Aberdeen
1919,01-11-2023,Motherwell,2 - 4,Aberdeen
1920,12-11-2023,Celtic,6 - 0,Aberdeen
1921,26-11-2023,Aberdeen,1 - 1,Rangers
1922,03-12-2023,Hibernian,2 - 0,Aberdeen
1923,06-12-2023,Aberdeen,0 - 1,Kilmarnock
1924,09-12-2023,Aberdeen,2 - 1,Hearts
1925,20-12-2023,Aberdeen,2 - 1,Livingston
1926,30-12-2023,Aberdeen,0 - 3,St Mirren
1927,02-01-2024,Ross County,0 - 3,Aberdeen
1928,24-01-2024,St Johnstone,? - ?,Aberdeen
1929,05-08-2023,Celtic,4 - 2,Ross County
1930,13-08-2023,Aberdeen,1 - 3,Celtic
1931,26-08-2023,Celtic,0 - 0,St Johnstone
1932,03-09-2023,Rangers,0 - 1,Celtic
1933,16-09-2023,Celtic,3 - 0,Dundee
1934,23-09-2023,Livingston,0 - 3,Celtic
1935,30-09-2023,Motherwell,1 - 2,Celtic
1936,07-10-2023,Celtic,3 - 1,Kilmarnock
1937,22-10-2023,Hearts,1 - 4,Celtic
1938,28-10-2023,Hibernian,0 - 0,Celtic
1939,01-11-2023,Celtic,2 - 1,St Mirren
1940,04-11-2023,Ross County,0 - 3,Celtic
1941,12-11-2023,Celtic,6 - 0,Aberdeen
1942,25-11-2023,Celtic,1 - 1,Motherwell
1943,03-12-2023,St Johnstone,1 - 3,Celtic
1944,06-12-2023,Celtic,4 - 1,Hibernian
1945,10-12-2023,Kilmarnock,2 - 1,Celtic
1946,16-12-2023,Celtic,0 - 2,Hearts
1947,23-12-2023,Celtic,2 - 0,Livingston
1948,26-12-2023,Dundee,0 - 3,Celtic
1949,30-12-2023,Celtic,2 - 1,Rangers
1950,02-01-2024,St Mirren,0 - 3,Celtic
1951,27-01-2024,Celtic,? - ?,Ross County
1952,05-08-2023,Dundee,1 - 1,Motherwell
1953,12-08-2023,St Mirren,2 - 1,Dundee
1954,27-08-2023,Dundee,1 - 0,Hearts
1955,02-09-2023,St Johnstone,2 - 2,Dundee
1956,16-09-2023,Celtic,3 - 0,Dundee
1957,23-09-2023,Dundee,2 - 2,Kilmarnock
1958,30-09-2023,Hibernian,0 - 0,Dundee
1959,24-10-2023,Dundee,0 - 0,Ross County
1960,28-10-2023,Livingston,0 - 2,Dundee
1961,01-11-2023,Dundee,0 - 5,Rangers
1962,05-11-2023,Dundee,1 - 0,Livingston
1963,11-11-2023,Dundee,4 - 0,St Mirren
1964,25-11-2023,Dundee,1 - 2,Hibernian
1965,02-12-2023,Motherwell,3 - 3,Dundee
1966,09-12-2023,Rangers,3 - 1,Dundee
1967,16-12-2023,Ross County,0 - 1,Dundee
1968,26-12-2023,Dundee,0 - 3,Celtic
1969,30-12-2023,Kilmarnock,2 - 2,Dundee
1970,23-01-2024,Hearts,? - ?,Dundee
1971,05-08-2023,St Johnstone,0 - 2,Hearts
1972,13-08-2023,Hearts,0 - 0,Kilmarnock
1973,27-08-2023,Dundee,1 - 0,Hearts
1974,03-09-2023,Hearts,0 - 1,Motherwell
1975,16-09-2023,Hearts,2 - 0,Aberdeen
1976,23-09-2023,St Mirren,1 - 0,Hearts
1977,30-09-2023,Ross County,0 - 1,Hearts
1978,07-10-2023,Hearts,2 - 2,Hibernian
1979,22-10-2023,Hearts,1 - 4,Celtic
1980,29-10-2023,Rangers,2 - 1,Hearts
1981,01-11-2023,Hearts,1 - 0,Livingston
1982,11-11-2023,Motherwell,1 - 2,Hearts
1983,25-11-2023,Hearts,1 - 0,St Johnstone
1984,02-12-2023,Kilmarnock,0 - 1,Hearts
1985,06-12-2023,Hearts,0 - 1,Rangers
1986,09-12-2023,Aberdeen,2 - 1,Hearts
1987,16-12-2023,Celtic,0 - 2,Hearts
1988,23-12-2023,Hearts,2 - 0,St Mirren
1989,27-12-2023,Hibernian,0 - 1,Hearts
1990,30-12-2023,Hearts,2 - 2,Ross County
1991,02-01-2024,Livingston,1 - 2,Hearts
1992,23-01-2024,Hearts,? - ?,Dundee
1993,06-08-2023,Hibernian,2 - 3,St Mirren
1994,13-08-2023,Motherwell,2 - 1,Hibernian
1995,26-08-2023,Hibernian,2 - 3,Livingston
1996,03-09-2023,Aberdeen,0 - 2,Hibernian
1997,16-09-2023,Kilmarnock,2 - 2,Hibernian
1998,23-09-2023,Hibernian,2 - 0,St Johnstone
1999,30-09-2023,Hibernian,0 - 0,Dundee
2000,07-10-2023,Hearts,2 - 2,Hibernian
2001,21-10-2023,Rangers,4 - 0,Hibernian
2002,28-10-2023,Hibernian,0 - 0,Celtic
2003,31-10-2023,Hibernian,2 - 2,Ross County
2004,08-11-2023,St Mirren,2 - 2,Hibernian
2005,11-11-2023,Hibernian,1 - 0,Kilmarnock
2006,25-11-2023,Dundee,1 - 2,Hibernian
2007,03-12-2023,Hibernian,2 - 0,Aberdeen
2008,06-12-2023,Celtic,4 - 1,Hibernian
2009,09-12-2023,Livingston,0 - 1,Hibernian
2010,16-12-2023,St Johnstone,1 - 0,Hibernian
2011,27-12-2023,Hibernian,0 - 1,Hearts
2012,02-01-2024,Hibernian,2 - 2,Motherwell
2013,24-01-2024,Hibernian,? - ?,Rangers
2014,05-08-2023,Kilmarnock,1 - 0,Rangers
2015,13-08-2023,Hearts,0 - 0,Kilmarnock
2016,26-08-2023,Motherwell,2 - 1,Kilmarnock
2017,02-09-2023,Kilmarnock,0 - 1,Ross County
2018,16-09-2023,Kilmarnock,2 - 2,Hibernian
2019,23-09-2023,Dundee,2 - 2,Kilmarnock
2020,30-09-2023,Kilmarnock,1 - 1,St Mirren
2021,07-10-2023,Celtic,3 - 1,Kilmarnock
2022,21-10-2023,Kilmarnock,3 - 1,Livingston
2023,29-10-2023,Kilmarnock,2 - 0,Aberdeen
2024,01-11-2023,St Johnstone,2 - 1,Kilmarnock
2025,04-11-2023,Kilmarnock,1 - 0,Motherwell
2026,11-11-2023,Hibernian,1 - 0,Kilmarnock
2027,25-11-2023,Ross County,0 - 0,Kilmarnock
2028,02-12-2023,Kilmarnock,0 - 1,Hearts
2029,06-12-2023,Aberdeen,0 - 1,Kilmarnock
2030,10-12-2023,Kilmarnock,2 - 1,Celtic
2031,16-12-2023,Livingston,0 - 0,Kilmarnock
2032,23-12-2023,Kilmarnock,2 - 1,St Johnstone
2033,27-12-2023,St Mirren,0 - 1,Kilmarnock
2034,30-12-2023,Kilmarnock,2 - 2,Dundee
2035,02-01-2024,Rangers,3 - 1,Kilmarnock
2036,05-08-2023,Livingston,0 - 0,Aberdeen
2037,12-08-2023,Rangers,4 - 0,Livingston
2038,26-08-2023,Hibernian,2 - 3,Livingston
2039,02-09-2023,Livingston,1 - 1,St Mirren
2040,16-09-2023,Ross County,1 - 1,Livingston
2041,23-09-2023,Livingston,0 - 3,Celtic
2042,30-09-2023,St Johnstone,1 - 1,Livingston
2043,07-10-2023,Livingston,2 - 0,Motherwell
2044,21-10-2023,Kilmarnock,3 - 1,Livingston
2045,28-10-2023,Livingston,0 - 2,Dundee
2046,01-11-2023,Hearts,1 - 0,Livingston
2047,05-11-2023,Dundee,1 - 0,Livingston
2048,12-11-2023,Livingston,0 - 2,Rangers
2049,25-11-2023,St Mirren,1 - 0,Livingston
2050,09-12-2023,Livingston,0 - 1,Hibernian
2051,16-12-2023,Livingston,0 - 0,Kilmarnock
2052,20-12-2023,Aberdeen,2 - 1,Livingston
2053,23-12-2023,Celtic,2 - 0,Livingston
2054,27-12-2023,Livingston,0 - 0,St Johnstone
2055,30-12-2023,Motherwell,3 - 1,Livingston
2056,02-01-2024,Livingston,1 - 2,Hearts
2057,05-08-2023,Dundee,1 - 1,Motherwell
2058,13-08-2023,Motherwell,2 - 1,Hibernian
2059,26-08-2023,Motherwell,2 - 1,Kilmarnock
2060,03-09-2023,Hearts,0 - 1,Motherwell
2061,16-09-2023,Motherwell,0 - 1,St Mirren
2062,24-09-2023,Rangers,1 - 0,Motherwell
2063,30-09-2023,Motherwell,1 - 2,Celtic
2064,07-10-2023,Livingston,2 - 0,Motherwell
2065,28-10-2023,Motherwell,3 - 3,Ross County
2066,01-11-2023,Motherwell,2 - 4,Aberdeen
2067,04-11-2023,Kilmarnock,1 - 0,Motherwell
2068,07-11-2023,St Johnstone,2 - 2,Motherwell
2069,11-11-2023,Motherwell,1 - 2,Hearts
2070,25-11-2023,Celtic,1 - 1,Motherwell
2071,02-12-2023,Motherwell,3 - 3,Dundee
2072,05-12-2023,Ross County,3 - 0,Motherwell
2073,09-12-2023,Motherwell,1 - 1,St Johnstone
2074,16-12-2023,St Mirren,0 - 0,Motherwell
2075,24-12-2023,Motherwell,0 - 2,Rangers
2076,30-12-2023,Motherwell,3 - 1,Livingston
2077,02-01-2024,Hibernian,2 - 2,Motherwell
2078,05-08-2023,Kilmarnock,1 - 0,Rangers
2079,12-08-2023,Rangers,4 - 0,Livingston
